datetime,open,high,low,close,volume
2026-03-22 13:40:00+00:00,2077.9,2078.8,2071.57,2075.27,6982.090000000002
2026-03-22 13:45:00+00:00,2075.27,2077.71,2073.78,2076.51,2747.269999999994
2026-03-22 13:50:00+00:00,2076.51,2079.72,2076.09,2079.45,3689.819999999992
2026-03-22 13:55:00+00:00,2079.45,2079.65,2077.32,2077.57,1929.789999999996
2026-03-22 14:00:00+00:00,2077.57,2079.64,2070.57,2073.63,5823.320000000004
2026-03-22 14:05:00+00:00,2073.63,2075.97,2072.59,2075.91,2303.4999999999955
2026-03-22 14:10:00+00:00,2075.91,2079.67,2075.91,2078.22,2480.849999999996
2026-03-22 14:15:00+00:00,2078.22,2078.68,2076.43,2077.14,1911.979999999997
2026-03-22 14:20:00+00:00,2077.14,2084.22,2076.18,2082.16,4203.409999999995
2026-03-22 14:25:00+00:00,2082.16,2082.39,2076.06,2079.7,2686.999999999994
2026-03-22 14:30:00+00:00,2079.7,2081.22,2077.16,2078.49,1839.159999999997
2026-03-22 14:35:00+00:00,2078.49,2083.73,2078.1,2082.12,3113.619999999992
2026-03-22 14:40:00+00:00,2082.12,2082.21,2078.79,2080.47,3414.869999999995
2026-03-22 14:45:00+00:00,2080.47,2080.47,2076.06,2077.36,1538.719999999997
2026-03-22 14:50:00+00:00,2077.36,2078.49,2075.1,2076.56,1685.8799999999983
2026-03-22 14:55:00+00:00,2076.56,2077.63,2074.29,2077.0,2194.1799999999976
2026-03-22 15:00:00+00:00,2077.0,2080.73,2076.99,2078.98,1723.2399999999975
2026-03-22 15:05:00+00:00,2078.98,2082.38,2078.86,2079.79,2388.1999999999944
2026-03-22 15:10:00+00:00,2079.79,2082.21,2079.78,2081.4,1351.1499999999992
2026-03-22 15:15:00+00:00,2081.4,2083.27,2078.17,2079.91,2862.409999999996
2026-03-22 15:20:00+00:00,2079.91,2081.74,2076.14,2077.93,3058.439999999995
2026-03-22 15:25:00+00:00,2077.93,2079.52,2076.94,2078.78,2620.229999999997
2026-03-22 15:30:00+00:00,2078.78,2079.4,2077.55,2078.11,1111.0399999999993
2026-03-22 15:35:00+00:00,2078.11,2078.16,2074.59,2076.2,2258.759999999997
2026-03-22 15:40:00+00:00,2076.2,2079.42,2074.69,2079.37,5319.119999999995
2026-03-22 15:45:00+00:00,2079.37,2080.47,2077.51,2079.49,1398.13
2026-03-22 15:50:00+00:00,2079.49,2082.45,2079.01,2080.68,4110.409999999993
2026-03-22 15:55:00+00:00,2080.68,2082.13,2080.01,2082.07,1339.6599999999978
2026-03-22 16:00:00+00:00,2082.07,2083.74,2079.43,2081.72,1942.439999999996
2026-03-22 16:05:00+00:00,2081.72,2082.73,2079.74,2079.86,1587.6599999999985
2026-03-22 16:10:00+00:00,2079.86,2082.29,2079.59,2080.66,1114.819999999998
2026-03-22 16:15:00+00:00,2080.66,2082.68,2079.14,2081.2,2116.799999999995
2026-03-22 16:20:00+00:00,2081.2,2081.48,2079.12,2079.92,1216.5099999999989
2026-03-22 16:25:00+00:00,2079.92,2079.92,2077.53,2078.09,2234.969999999995
2026-03-22 16:30:00+00:00,2078.09,2080.99,2076.98,2079.44,2175.8399999999974
2026-03-22 16:35:00+00:00,2079.44,2081.36,2079.08,2079.27,1092.2500000000005
2026-03-22 16:40:00+00:00,2079.27,2079.61,2076.65,2079.13,1761.5099999999973
2026-03-22 16:45:00+00:00,2079.13,2081.34,2079.12,2081.32,927.6099999999992
2026-03-22 16:50:00+00:00,2081.32,2082.02,2080.59,2081.26,1483.2399999999982
2026-03-22 16:55:00+00:00,2081.26,2082.48,2080.97,2080.97,831.4499999999994
2026-03-22 17:00:00+00:00,2080.97,2081.63,2078.73,2080.77,1378.3699999999978
2026-03-22 17:05:00+00:00,2080.77,2081.73,2080.02,2081.62,879.8499999999998
2026-03-22 17:10:00+00:00,2081.62,2082.15,2080.72,2081.93,1095.579999999999
2026-03-22 17:15:00+00:00,2081.93,2082.01,2079.92,2081.26,1113.699999999999
2026-03-22 17:20:00+00:00,2081.26,2083.49,2080.38,2080.38,3193.5799999999945
2026-03-22 17:25:00+00:00,2080.38,2082.77,2079.32,2080.94,1584.3799999999983
2026-03-22 17:30:00+00:00,2080.94,2082.44,2080.02,2081.22,1616.2399999999964
2026-03-22 17:35:00+00:00,2081.22,2081.22,2077.38,2077.49,1483.6699999999987
2026-03-22 17:40:00+00:00,2077.49,2078.23,2076.2,2077.5,1585.9199999999978
2026-03-22 17:45:00+00:00,2077.5,2079.64,2077.5,2077.66,934.74
2026-03-22 17:50:00+00:00,2077.66,2080.14,2077.65,2079.73,1482.5599999999977
2026-03-22 17:55:00+00:00,2079.73,2080.49,2078.47,2078.47,749.8700000000001
2026-03-22 18:00:00+00:00,2078.47,2078.47,2074.33,2075.88,3080.479999999998
2026-03-22 18:05:00+00:00,2075.88,2078.5,2075.67,2078.34,1164.3699999999988
2026-03-22 18:10:00+00:00,2078.34,2079.51,2078.32,2079.01,1008.0999999999988
2026-03-22 18:15:00+00:00,2079.01,2079.01,2076.97,2077.78,1264.1799999999996
2026-03-22 18:20:00+00:00,2077.78,2078.51,2076.07,2076.62,880.5299999999997
2026-03-22 18:25:00+00:00,2076.62,2077.74,2075.62,2077.3,1228.799999999998
2026-03-22 18:30:00+00:00,2077.3,2078.97,2067.65,2067.89,4665.129999999996
2026-03-22 18:35:00+00:00,2067.89,2069.95,2055.48,2063.8,14113.270000000008
2026-03-22 18:40:00+00:00,2063.8,2065.74,2062.74,2064.01,4510.989999999986
2026-03-22 18:45:00+00:00,2064.01,2068.45,2063.37,2068.41,2796.139999999996
2026-03-22 18:50:00+00:00,2068.41,2070.55,2066.98,2068.37,2505.999999999997
2026-03-22 18:55:00+00:00,2068.37,2071.47,2067.58,2071.28,1863.3399999999983
