trade_no,side,entry_time,exit_time,entry_price,exit_price,size_usd,margin_used,pnl_usd,pnl_pct,exit_reason
8597,short,2024-03-04 06:30,2024-03-04 06:45,3471.27,3474.3,3.752418684904628e+202,1.0496051121490374e+201,-5.526860100271977e+199,-5.27,signal
8598,long,2024-03-04 06:50,2024-03-04 07:00,3473.9,3472.1,3.568650586570585e+202,9.982025497864578e+200,-3.990285333325725e+199,-4.0,signal
8599,short,2024-03-04 07:15,2024-03-04 07:30,3471.62,3473.34,3.4359735992375045e+202,9.610909010438619e+200,-3.7639232953607612e+199,-3.92,signal
8600,long,2024-03-04 07:35,2024-03-04 08:05,3476.39,3496.2541,3.3108231496667593e+202,9.260845324353592e+200,1.6931549587395745e+200,18.28,take_profit
8601,long,2024-03-04 08:05,2024-03-04 08:35,3506.01,3526.0433,3.873797173447668e+202,1.0835564093729334e+201,1.9810598745011564e+200,18.28,take_profit
8602,long,2024-03-04 09:15,2024-03-04 09:30,3518.52,3538.6248,4.532499581719303e+202,1.2678048830009136e+201,2.3179202860912376e+200,18.28,take_profit
8603,short,2024-03-04 09:30,2024-03-04 10:00,3537.78,3517.5651,5.303208076844639e+202,1.483383059208829e+201,2.7120606104983568e+200,18.28,take_profit
8604,short,2024-03-04 10:00,2024-03-04 10:35,3521.44,3501.3185,6.204968229835343e+202,1.735618256288229e+201,3.1732207527377675e+200,18.28,take_profit
8605,long,2024-03-04 10:45,2024-03-04 11:15,3498.76,3502.08,7.260064130120652e+202,2.0307436523966052e+201,2.53309164574246e+199,1.25,signal
8606,long,2024-03-04 11:40,2024-03-04 12:00,3506.37,3504.7,7.344289427341589e+202,2.0543026712478326e+201,-7.904482702986172e+199,-3.85,signal
8607,short,2024-03-04 12:05,2024-03-04 12:15,3504.35,3507.77,7.0814653774672965e+202,1.9807870298687098e+201,-1.1159893135176335e+200,-5.63,signal
8608,short,2024-03-04 12:30,2024-03-04 12:45,3506.86,3505.83,6.710398930722685e+202,1.8769944437650026e+201,-2.0553278026128173e+199,-1.1,signal
8609,long,2024-03-04 13:00,2024-03-04 13:15,3506.51,3517.4,6.64205928128581e+202,1.8578788675368022e+201,1.6642689511493966e+200,8.96,signal
8610,short,2024-03-04 13:20,2024-03-04 13:30,3508.43,3511.2,7.195428707542984e+202,2.0126642013384518e+201,-9.998242029664822e+199,-4.97,signal
8611,long,2024-03-04 13:35,2024-03-04 13:45,3513.62,3504.86,6.8629871600566264e+202,1.9196755513415537e+201,-2.1228284472790264e+200,-11.06,signal
8612,short,2024-03-04 13:50,2024-03-04 13:55,3508.56,3488.5121,6.157146701336352e+202,1.722241891602368e+201,3.148764823063387e+200,18.28,take_profit
8613,long,2024-03-04 14:00,2024-03-04 14:25,3477.25,3497.119,7.204111005004927e+202,2.0150927639713783e+201,3.684182367959534e+200,18.28,take_profit
8614,long,2024-03-04 14:30,2024-03-04 14:40,3506.77,3526.8077,8.429101642351473e+202,2.3577401451034548e+201,4.310642579898532e+200,18.28,take_profit
8615,long,2024-03-04 14:45,2024-03-04 15:10,3531.48,3551.6589,9.862390300167737e+202,2.758651458246918e+201,5.043626399505798e+200,18.28,take_profit
8616,short,2024-03-04 15:15,2024-03-04 15:30,3563.04,3551.07,1.1539396078003413e+203,3.2277339315329547e+201,3.184285699083843e+200,9.87,signal
8617,long,2024-03-04 15:35,2024-03-04 16:05,3551.48,3571.7732,1.259817107294879e+203,3.5238884229762475e+201,6.442704686705956e+200,18.28,take_profit
8618,short,2024-03-04 16:15,2024-03-04 16:25,3565.71,3545.3355,1.474037038127852e+203,4.123092172363334e+201,7.538225412985762e+200,18.28,take_profit
8619,long,2024-03-04 16:30,2024-03-04 16:45,3553.07,3560.79,1.7246830331096284e+203,4.8241848268980754e+201,2.7125278390055606e+200,5.62,signal
8620,long,2024-03-04 17:00,2024-03-04 17:15,3539.63,3559.8554,1.814874583756563e+203,5.076463478564786e+201,9.281268621331064e+200,18.28,take_profit
8621,long,2024-03-04 17:15,2024-03-04 17:25,3560.51,3580.8548,2.123476765415821e+203,5.939667866691681e+201,1.0859460178336553e+201,18.28,take_profit
8622,short,2024-03-04 17:30,2024-03-04 17:40,3580.32,3559.8621,2.4845538163455113e+203,6.949651960577873e+201,1.270600821679104e+201,18.28,take_profit
8623,short,2024-03-04 17:45,2024-03-04 18:05,3553.99,3549.19,2.9070285895538134e+203,8.131374254780523e+201,2.182000204745792e+200,2.68,signal
