aec_point,Age,BMI,SMI,Sex(M=1),Sarcopenia,TAMA
116,0.02999756712359249,-0.017759131372311138,0.2717840006789842,0.48802364856625896,0.05053661439617185,0.32775145438505143
117,0.009067260069520315,-0.05238408151895633,0.23116572999531165,0.4455850616878613,0.05759350669074136,0.28402923425624227
118,-0.004356969913980543,-0.08691552013484817,0.18401173779302823,0.39551043132169156,0.0639554944109872,0.2322597406169045
119,-0.020268631334988723,-0.12164185364775028,0.13147438007783505,0.33646332841571774,0.06423289748967803,0.17492162654452265
120,-0.038795316063620675,-0.15334036111397017,0.0791634372240024,0.2692988653977023,0.05763845845617766,0.11521815369983396
121,-0.053360965826249857,-0.17521519951811435,0.02965055940808406,0.20081653106700018,0.054010584077766,0.057093924977445844
122,-0.07309135425388091,-0.19216053233108146,-0.0154029194204,0.13198743401984767,0.048723257566581274,0.003251993635582945
123,-0.09219679398612683,-0.21282961411520154,-0.06969614085183068,0.05484098861210723,0.044631901555428594,-0.06001646865769973
124,-0.10758438221876901,-0.2355210189223927,-0.12217807437630211,-0.022709646384700157,0.042167573515472706,-0.12199619553590835
125,-0.12351454402599943,-0.24898426804667204,-0.165389901622024,-0.09631937304979447,0.03685524379341886,-0.17602898542345968
126,-0.1476569531674204,-0.25357315383821194,-0.19667686394765288,-0.1629535844704147,0.025819098382226808,-0.21779675869746118
127,-0.1639559823504545,-0.26594892227763745,-0.22789232173766905,-0.218819353097241,0.022109137602568708,-0.2560973803177035
